stop_frisk_id,stop_frisk_date,stop_frisk_time,year2,month2,day2,stop_was_initiated,record_status_code,issuing_officer_rank,issuing_officer_command_code,supervising_officer_rank,supervising_officer_command_code,supervising_action_corresponding_activity_log_entry_reviewed,location_in_out_code,jurisdiction_code,jurisdiction_description,observed_duration_minutes,suspected_crime_description,stop_duration_minutes,officer_explained_stop_flag,officer_not_explained_stop_description,other_person_stopped_flag,suspect_arrested_flag,suspect_arrest_offense,summons_issued_flag,summons_offense_description,officer_in_uniform_flag,id_card_identifies_officer_flag,shield_identifies_officer_flag,verbal_identifies_officer_flag,frisked_flag,searched_flag,other_contraband_flag,firearm_flag,knife_cutter_flag,other_weapon_flag,weapon_found_flag,physical_force_cew_flag,physical_force_draw_point_firearm_flag,physical_force_handcuff_suspect_flag,physical_force_oc_spray_used_flag,physical_force_other_flag,physical_force_restraint_used_flag,physical_force_verbal_instruction_flag,physical_force_weapon_impact_flag,backround_circumstances_violent_crime_flag,backround_circumstances_suspect_known_to_carry_weapon_flag,suspects_actions_casing_flag,suspects_actions_concealed_possession_weapon_flag,suspects_actions_decription_flag,suspects_actions_drug_transactions_flag,suspects_actions_identify_crime_pattern_flag,suspects_actions_lookout_flag,suspects_actions_other_flag,suspects_actions_proximity_to_scene_flag,search_basis_admission_flag,search_basis_consent_flag,search_basis_hard_object_flag,search_basis_incidental_to_arrest_flag,search_basis_other_flag,search_basis_outline_flag,demeanor_code,demeanor_of_person_stopped,suspect_reported_age,suspect_sex,suspect_race_description,suspect_height,suspect_weight,suspect_body_build_type,suspect_eye_color,suspect_hair_color,suspect_other_description,stop_location_precinct,stop_location_sector_code,stop_location_apartment,stop_location_full_address,stop_location_premises_name,stop_location_street_name,stop_location_x,stop_location_y,stop_location_zip_code,stop_location_patrol_boro_name,stop_location_boro_name,stop_id_anony,ask_for_consent_flg,consent_given_flg,stop_id
NA,2020-02-04,1899-12-31 15:42:00,2020,February,Tuesday,Based on C/W on Scene,APP,POM,26,SGT,26,NA,(null),P,PSB,10,PETIT LARCENY,18,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(,(null),(null),(null),(null),(null),(null),SA,"UPSET, AGITATED, UNCOOPERATIVE",40,FEMALE,BLACK,5.5,140,THN,BRO,XXX,NONE,26,A,(null),BROADWAY && W 111 ST,NA,BROADWAY,993603,232499,10025,PBMN,MANHATTAN,NA,N,N,1332
2684,2018-03-29,1899-12-31 08:30:00,2018,March,Thursday,Based on C/W on Scene,APP,POM,75,SGT,75,N,I,P,PSB,0,PETIT LARCENY,30,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,ANNOYED,49,FEMALE,WHITE,5.7,150,MED,ZZZ,RED,CHERRY TATTOO ON R/S OF NECK,75,D,SOCIAL OFFIC,710 HENDRIX STREET,(null),HENDRIX STREET,1015593,181153,(null),PBBN,BROOKLYN,NA,NA,NA,NA
NA,2020-11-10,1899-12-31 19:17:00,2020,November,Tuesday,Based on Radio Run,APP,POM,104,SGT,104,NA,O,P,PSB,1,GRAND LARCENY,4,Y,(null),Y,Y,GRAND LARCENY,N,(null),Y,(null),(null),(null),Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),CM,NERVOUS,18,FEMALE,BLACK,5.6,110,THN,BRO,BLN,RED HOODIE BLUE JEANS BLACK H,104,B,(null),CYPRESS HILLS ST && SHALER AVE,NA,CYPRESS HILLS ST,1013797,195120,11385,PBQN,QUEENS,NA,N,N,8274
2017049010144,2017-06-03,1899-12-31 21:10:00,2017,June,Saturday,Based on Self Initiated,APP,POF,049,SGT,049,Y,(null),P,PSB,1,OTHER,5,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),CM,OTHER,(null),MALE,WHITE,6,175,THN,BRO,BRO,(null),49,E,(null),2305 WILLIAMSBRIDGE ROAD,(null),WILLIAMSBRIDGE ROAD,1023697,252595,(null),PBBX,BRONX,NA,NA,NA,NA
NA,2021-01-02,22:34:00,2021,January,Saturday,Based on Self Initiated,APP,POM,076,SGT,076,Y,(null),P,PSB,1,BURGLARY,4,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),BC,NA,57,MALE,WHITE HISPANIC,5.3,150,THN,BRO,BRO,(null),076,A,(null),147 COLUMBIA ST,NA,COLUMBIA ST,983789,189522,NA,PBBS,BROOKLYN,NA,N,Y,10
NA,2019-04-10,1899-12-31 13:00:00,2019,April,Wednesday,Based on Radio Run,APP,POM,109,SGT,109,NA,I,P,PSB,1,GRAND LARCENY,5,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),N,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),(null),NA,NA,19,MALE,WHITE HISPANIC,5.9,150,THN,BRO,BRO,(null),109,A,(null),56-34 MAIN STREET,NA,MAIN STREET,1032441,211709,(null),PBQN,QUEENS,11841,Y,Y,NA
4644,2018-05-27,1899-12-31 03:23:00,2018,May,Sunday,Based on C/W on Scene,APP,POM,47,SGT,47,Y,(null),P,PSB,1,CPW,15,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),Y,(null),(null),(null),DE,ANXIOUS,18,MALE,WHITE HISPANIC,5.0999999999999996,155,THN,BRO,BLK,"RED T-SHIRT, DARK SHORTS",47,C,(null),EAST 233 STREET && BRONXWOOD AVENUE,(null),EAST 233 STREET,1025217,264157,(null),PBBX,BRONX,NA,NA,NA,NA
NA,2020-12-20,1899-12-31 06:10:00,2020,December,Sunday,Based on Radio Run,APP,DTS,46,SGT,46,NA,O,P,PSB,1,ASSAULT,12,Y,(null),N,Y,ASSAULT,N,(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(,(null),(null),(null),(null),(null),(null),CM,INTOX AND BELLIIGERENT,29,FEMALE,WHITE HISPANIC,5.5,110,MED,BRO,BLN,(null),46,B,(null),2162 VALENTINE AVE,NA,VALENTINE AVE,1012173,250528,10457,PBBX,BRONX,NA,N,N,9462
2017033010178,2017-10-26,1899-12-31 00:27:00,2017,October,Thursday,Based on Self Initiated,APP,POF,033,SGT,033,Y,O,P,PSB,1,CPW,5,Y,(null),Y,N,(null),N,(null),N,(null),S,(null),Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),CM,CPW,22,MALE,WHITE HISPANIC,5.8,170,MED,BRO,BLK,(null),33,C,(null),1289 SAINT NICHOLAS AVENUE,(null),SAINT NICHOLAS AVENUE,1001726,247173,(null),PBMN,MANHATTAN,NA,NA,NA,NA
NA,2019-10-26,1899-12-31 15:28:00,2019,October,Saturday,Based on Radio Run,APP,POM,72,SGT,72,NA,O,P,PSB,1,PETIT LARCENY,9,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),N,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),DE,ANNOYED,50,FEMALE,BLACK,5.7,160,MED,BLK,BLK,(null),72,C,(null),4 AVENUE && 49 STREET,NA,4 AVENUE,980921,175007,(null),PBBS,BROOKLYN,8062,Y,Y,NA
